Row Labels;Average of Region;Average of Fresh;Average of Milk;Average of Grocery;Average of Frozen;Average of Delicassen;Average of Detergents_Paper;;;
1;2,510067114;13475,5604;3451,724832;3962,137584;3748,251678;1415,956376;790,5604027;;Retail=142;
2;2,612676056;8904,323944;10716,5;16322,85211;1652,612676;1753,43662;7269,507042;;Horeca=298;
(blank);;;;;;;;;;
Grand Total;2,543181818;12000,29773;5796,265909;7951,277273;3071,931818;1524,870455;2881,493182;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Row Labels;Max of Region;Max of Fresh;Max of Milk;Max of Grocery;Max of Frozen;Max of Delicassen;Max of Detergents_Paper;;;
1;3;112151;43950;21042;60869;47943;6907;;;
1,322727273;2,543181818;12000,29773;5796,265909;7951,277273;3071,931818;1524,870455;2881,493182;;;
2;3;44466;73498;92780;11559;16523;40827;;;
(blank);;;;;;;;;;
Grand Total;3;112151;73498;92780;60869;47943;40827;;;
